_id,abstracts,imgPath,tag,title,url
60c06500d6b2ef4b30ba3c59,Less （Leaner Style Sheets 的缩写） 是一门向后兼容的 CSS 扩展语言。这里呈现的是 Less 的官方文档（中文版），包含了 Less 语言以及利用 JavaScript 开发的用于将 Less 样式转换成 CSS 样式的 Less.js 工具。  因为 Less 和 CSS 非常像，因此很容易学习。而且 Less 仅对 CSS 语言增加了少许方便的扩展，这就是 Less 如此易学的原因之一。  有关 Less 语言特性的详细文档，请参阅 Less 语言特性 章节 有关 Less 内置函数的列表，请参阅 Less 函数手册 章节 有关详细的使用说明，请参阅 Less.js 用法 章节 有关第三方工具的详细信息，请参阅 工具 章节 Less 到底为 CSS 添加了什么功能？以下就是这些新加功能的概览,,vscode,关于vscode的插件_1,https:www.baidu.com
60c06500d6b2ef4b30ba3c5a,了解有关夫选择器的详细信息  @规则嵌套和冒泡 @ 规则（例如 @media 或 @supports）可以与选择器以相同的方式进行嵌套。@ 规则会被放在前面，同一规则集中的其它元素的相对顺序保持不变。这叫做冒泡（bubbling）。,,vscode2,关于vscode的插件_2,https:www.baidu.com
60c06500d6b2ef4b30ba3c5b,运算（Operations） 算术运算符 +、-、*、/ 可以对任何数字、颜色或变量进行运算。如果可能的话，算术运算符在加、减或比较之前会进行单位换算。计算的结果以最左侧操作数的单位类型为准。如果单位换算无效或失去意义，则忽略单位。无效的单位换算例如：px 到 cm 或 rad 到 % 的转换。,,vscode3,关于vscode的插件_3,
60c06500d6b2ef4b30ba3c5c,乘法和除法不作转换。因为这两种运算在大多数情况下都没有意义，一个长度乘以一个长度就得到一个区域，而 CSS 是不支持指定区域的。Less 将按数字的原样进行操作，并将为计算结果指定明确的单位类型。  @base: 2cm * 3mm; // 结果是 6cm 你还可以对颜色进行算术运算：  @color: #224488 / 2; //结果是 #112244 background-color: #112244 + #111; // 结果是 #223355 不过，Less 提供的 色彩函数 更有使用价值。  calc() 特例 Released v3.0.0  为了与 CSS 保持兼容，calc() 并不对数学表达式进行计算，但是在嵌套函数中会计算变量和数学公式的值。  @var: 50vh/2; width: calc(50% + (@var - 20px));  // 结果是 calc(50% + (25vh - 20px)) 转义（Escaping） 转义（Escaping）允许你使用任意字,,vscode4,关于vscode的插件_4,
60c06500d6b2ef4b30ba3c5d,一个人必须具有某种智性的勇气，才能够坦然承认自己是人渣，是人工流产而没有死去的婴儿，是疯的程度还不够进疯人院的疯子；他一旦承认了这一切，就需要更大的道德勇气去设法让自己随遇而安，不抗议，不灰心，不作任何举动或暗示举动，接受大自然对他的必然诅咒。想不为这种种受苦是奢望，因为人的能力无法把明明是坏的东西看成好的东西；假如我们承认它是坏东西而且接受它，那就只好受苦。,,animation1,好用的动画库_111,
60c06500d6b2ef4b30ba3c5e,从外表观察自己毁了我——毁了我的幸福。我所见的是别人眼里的我，因此我鄙视自己——不是因为我的品格有什么值得鄙视的特点，是因为我用别人的眼光看自己而感受到他们对我的鄙视。我体验了认识自己的羞辱。既然这种受难没有什么高贵也没有三日后的复活，我不能不为这耻辱受苦,,animation2,好用的动画库_112,
60c06500d6b2ef4b30ba3c5f,我知道没有人能够爱我，除非他完全没有审美意识，而我对这种人只会鄙视；即使是别人对我表示的友善关怀，也不过是一时的兴致，基本上还是冷漠。  仔细观察自己，仔细观察别人怎样看自己！面对面直视真相！结果是基督在髑髅地直视真相时的喊叫：“我的上帝，我的上帝，为什么离弃我？,,animation3,好用的动画库_113,
60c06500d6b2ef4b30ba3c60,我从来不怀疑人人都会辜负我，而每次被辜负仍不免惊讶地发呆。预料会发生的事情一旦发生，我还是觉得意外。  我在自己身上从未发现有任何吸引人的品质，所以永远不会相信有人被我吸引。假使不是总有一件又一件事实——意料中的意外——证明，我对自己这种看法就谦虚得太笨了。  心灵的支撑,,animation4,好用的动画库_114,
60c06500d6b2ef4b30ba3c61,我的一生：一出悲剧，第一幕未演完就被众神喝倒彩轰下台。  朋友：一个都没有。有少数几个自以为对我有好感的萍水之交，如果我被火车碾死而葬礼又在下雨天举行，他们可能觉得难过。  我对生活的疏离态度，后果是让别人对我难以产生感情。我周围有一层发亮的冷漠、一圈冰冷的光拒绝别人接近。  我仍然不能避免为寂寞所苦。要达到超然的精神境界，使孤立变成没有痛苦的憩息，不是容易的事。  我不相信别人对,,animation5,好用的动画库_115,
60c06500d6b2ef4b30ba3c62,一个人必须具有某种智性的勇气，才能够坦然承认自己是人渣，是人工流产而没有死去的婴儿，是疯的程度还不够进疯人院的疯子；他一旦承认了这一切，就需要更大的道德勇气去设法让自己随遇而安，不抗议，不灰心，不作任何举动或暗示举动，接受大自然对他的必然诅咒。想不为这种种受苦是奢望，因为人的能力无法把明明是坏的东西看成好的东西；假如我们承认它是坏东西而且接受它，那就只好受苦。,,sidebar1,侧边栏插件_1,
60c06500d6b2ef4b30ba3c63,从外表观察自己毁了我——毁了我的幸福。我所见的是别人眼里的我，因此我鄙视自己——不是因为我的品格有什么值得鄙视的特点，是因为我用别人的眼光看自己而感受到他们对我的鄙视。我体验了认识自己的羞辱。既然这种受难没有什么高贵也没有三日后的复活，我不能不为这耻辱受苦,,sidebar2,侧边栏插件_2,
60c06500d6b2ef4b30ba3c64,我知道没有人能够爱我，除非他完全没有审美意识，而我对这种人只会鄙视；即使是别人对我表示的友善关怀，也不过是一时的兴致，基本上还是冷漠。  仔细观察自己，仔细观察别人怎样看自己！面对面直视真相！结果是基督在髑髅地直视真相时的喊叫：“我的上帝，我的上帝，为什么离弃我？,,sidebar3,侧边栏插件_3,
60c06500d6b2ef4b30ba3c65,我从来不怀疑人人都会辜负我，而每次被辜负仍不免惊讶地发呆。预料会发生的事情一旦发生，我还是觉得意外。  我在自己身上从未发现有任何吸引人的品质，所以永远不会相信有人被我吸引。假使不是总有一件又一件事实——意料中的意外——证明，我对自己这种看法就谦虚得太笨了。  心灵的支撑,,sidebar4,侧边栏插件_4,https:www.baidu.com
60c06500d6b2ef4b30ba3c66,我的一生：一出悲剧，第一幕未演完就被众神喝倒彩轰下台。  朋友：一个都没有。有少数几个自以为对我有好感的萍水之交，如果我被火车碾死而葬礼又在下雨天举行，他们可能觉得难过。  我对生活的疏离态度，后果是让别人对我难以产生感情。我周围有一层发亮的冷漠、一圈冰冷的光拒绝别人接近。  我仍然不能避免为寂寞所苦。要达到超然的精神境界，使孤立变成没有痛苦的憩息，不是容易的事。  我不相信别人对,,sidebar5,侧边栏插件_5,https:www.baidu.com
60cca6fa23909129106fafde,,,animation,1,
60cca7282e19d37ca4045dcd,aaaaaaa,,,plugin_test_1,https:www.baidu.com
60cca7473a0cd83b443ee6c8,Less （Leaner Style Sheets 的缩写） 是一门向后兼容的 CSS 扩展语言。这里呈现的是 Less 的官方文档（中文版），包含了 Less 语言以及利用 JavaScript 开发的用于将 Less 样式转换成 CSS 样式的 Less.js 工具。  因为 Less 和 CSS 非常像，因此很容易学习。而且 Less 仅对 CSS 语言增加了少许方便的扩展，这就是 Less 如此易学的原因之一。  有关 Less 语言特性的详细文档，请参阅 Less 语言特性 章节 有关 Less 内置函数的列表，请参阅 Less 函数手册 章节 有关详细的使用说明，请参阅 Less.js 用法 章节 有关第三方工具的详细信息，请参阅 工具 章节 Less 到底为 CSS 添加了什么功能？以下就是这些新加功能的概览,,vscode,关于vscode的插件_1,
60cca7473a0cd83b443ee6c9,了解有关夫选择器的详细信息  @规则嵌套和冒泡 @ 规则（例如 @media 或 @supports）可以与选择器以相同的方式进行嵌套。@ 规则会被放在前面，同一规则集中的其它元素的相对顺序保持不变。这叫做冒泡（bubbling）。,,vscode,关于vscode的插件_2,
60cca7473a0cd83b443ee6ca,运算（Operations） 算术运算符 +、-、*、/ 可以对任何数字、颜色或变量进行运算。如果可能的话，算术运算符在加、减或比较之前会进行单位换算。计算的结果以最左侧操作数的单位类型为准。如果单位换算无效或失去意义，则忽略单位。无效的单位换算例如：px 到 cm 或 rad 到 % 的转换。,,vscode,关于vscode的插件_3,
60cca7473a0cd83b443ee6cb,乘法和除法不作转换。因为这两种运算在大多数情况下都没有意义，一个长度乘以一个长度就得到一个区域，而 CSS 是不支持指定区域的。Less 将按数字的原样进行操作，并将为计算结果指定明确的单位类型。  @base: 2cm * 3mm; // 结果是 6cm 你还可以对颜色进行算术运算：  @color: #224488 / 2; //结果是 #112244 background-color: #112244 + #111; // 结果是 #223355 不过，Less 提供的 色彩函数 更有使用价值。  calc() 特例 Released v3.0.0  为了与 CSS 保持兼容，calc() 并不对数学表达式进行计算，但是在嵌套函数中会计算变量和数学公式的值。  @var: 50vh/2; width: calc(50% + (@var - 20px));  // 结果是 calc(50% + (25vh - 20px)) 转义（Escaping） 转义（Escaping）允许你使用任意字,,vscode,关于vscode的插件_4,
60cca7473a0cd83b443ee6cc,一个人必须具有某种智性的勇气，才能够坦然承认自己是人渣，是人工流产而没有死去的婴儿，是疯的程度还不够进疯人院的疯子；他一旦承认了这一切，就需要更大的道德勇气去设法让自己随遇而安，不抗议，不灰心，不作任何举动或暗示举动，接受大自然对他的必然诅咒。想不为这种种受苦是奢望，因为人的能力无法把明明是坏的东西看成好的东西；假如我们承认它是坏东西而且接受它，那就只好受苦。,,animation,好用的动画库_111,
60cca7473a0cd83b443ee6cd,从外表观察自己毁了我——毁了我的幸福。我所见的是别人眼里的我，因此我鄙视自己——不是因为我的品格有什么值得鄙视的特点，是因为我用别人的眼光看自己而感受到他们对我的鄙视。我体验了认识自己的羞辱。既然这种受难没有什么高贵也没有三日后的复活，我不能不为这耻辱受苦,,animation,好用的动画库_112,
60cca7473a0cd83b443ee6ce,我知道没有人能够爱我，除非他完全没有审美意识，而我对这种人只会鄙视；即使是别人对我表示的友善关怀，也不过是一时的兴致，基本上还是冷漠。  仔细观察自己，仔细观察别人怎样看自己！面对面直视真相！结果是基督在髑髅地直视真相时的喊叫：“我的上帝，我的上帝，为什么离弃我？,,animation,好用的动画库_113,
60cca7473a0cd83b443ee6cf,我从来不怀疑人人都会辜负我，而每次被辜负仍不免惊讶地发呆。预料会发生的事情一旦发生，我还是觉得意外。  我在自己身上从未发现有任何吸引人的品质，所以永远不会相信有人被我吸引。假使不是总有一件又一件事实——意料中的意外——证明，我对自己这种看法就谦虚得太笨了。  心灵的支撑,,animation,好用的动画库_114,
60cca7473a0cd83b443ee6d0,我的一生：一出悲剧，第一幕未演完就被众神喝倒彩轰下台。  朋友：一个都没有。有少数几个自以为对我有好感的萍水之交，如果我被火车碾死而葬礼又在下雨天举行，他们可能觉得难过。  我对生活的疏离态度，后果是让别人对我难以产生感情。我周围有一层发亮的冷漠、一圈冰冷的光拒绝别人接近。  我仍然不能避免为寂寞所苦。要达到超然的精神境界，使孤立变成没有痛苦的憩息，不是容易的事。  我不相信别人对,,animation,好用的动画库_115,
60cca7473a0cd83b443ee6d1,一个人必须具有某种智性的勇气，才能够坦然承认自己是人渣，是人工流产而没有死去的婴儿，是疯的程度还不够进疯人院的疯子；他一旦承认了这一切，就需要更大的道德勇气去设法让自己随遇而安，不抗议，不灰心，不作任何举动或暗示举动，接受大自然对他的必然诅咒。想不为这种种受苦是奢望，因为人的能力无法把明明是坏的东西看成好的东西；假如我们承认它是坏东西而且接受它，那就只好受苦。,,sidebar,侧边栏插件_1,
60cca7473a0cd83b443ee6d2,从外表观察自己毁了我——毁了我的幸福。我所见的是别人眼里的我，因此我鄙视自己——不是因为我的品格有什么值得鄙视的特点，是因为我用别人的眼光看自己而感受到他们对我的鄙视。我体验了认识自己的羞辱。既然这种受难没有什么高贵也没有三日后的复活，我不能不为这耻辱受苦,,sidebar,侧边栏插件_2,
60cca7473a0cd83b443ee6d3,我知道没有人能够爱我，除非他完全没有审美意识，而我对这种人只会鄙视；即使是别人对我表示的友善关怀，也不过是一时的兴致，基本上还是冷漠。  仔细观察自己，仔细观察别人怎样看自己！面对面直视真相！结果是基督在髑髅地直视真相时的喊叫：“我的上帝，我的上帝，为什么离弃我？,,sidebar,侧边栏插件_3,
60cca7473a0cd83b443ee6d4,我从来不怀疑人人都会辜负我，而每次被辜负仍不免惊讶地发呆。预料会发生的事情一旦发生，我还是觉得意外。  我在自己身上从未发现有任何吸引人的品质，所以永远不会相信有人被我吸引。假使不是总有一件又一件事实——意料中的意外——证明，我对自己这种看法就谦虚得太笨了。  心灵的支撑,,sidebar,侧边栏插件_4,
60cca7473a0cd83b443ee6d5,我的一生：一出悲剧，第一幕未演完就被众神喝倒彩轰下台。  朋友：一个都没有。有少数几个自以为对我有好感的萍水之交，如果我被火车碾死而葬礼又在下雨天举行，他们可能觉得难过。  我对生活的疏离态度，后果是让别人对我难以产生感情。我周围有一层发亮的冷漠、一圈冰冷的光拒绝别人接近。  我仍然不能避免为寂寞所苦。要达到超然的精神境界，使孤立变成没有痛苦的憩息，不是容易的事。  我不相信别人对,,sidebar,侧边栏插件_5,
